Номер сертификата о происхождении серийной продукции и дата его выдачи,"Производитель товара
(адрес производителя товара)","Наименование товара
(код ТН ВЭД ЕАЭС)","Статус сертификата о происхождении серийной продукции
(срок действия)"
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе бедра ЦБ, на подложке, охл.",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе бедра с кожей ЦБ, групп., охл.",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе бедра с кожей ЦБ, монолит, зам.",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Костный остаток ЦБ, блок, зам.",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Шея ЦБ, блок, зам.",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Кисть крыла ЦБ, блок, зам.",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Мясо ЦБ, блок, зам., мех.обвалки",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Печень ЦБ, блок, зам.",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Кожа ЦБ, блок, зам.",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Кожа бедра ЦБ, монолит, зам.",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Кожа бедра ЦБ ,вес., охл.",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Кожа голени ЦБ, вес, охл.",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе голени с кожей ЦБ, монолит, зам.",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе голени ЦБ, монолит, зам.",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Кожа голени ЦБ, монолит, зам",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе голени ЦБ, групп., охл.",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе голени с кожей ЦБ, групп., охл.",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе голени ЦБ, на подложке, охл.",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,7 - 2,5 кг, монолит, зам., Э",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Четвертина задняя ЦБ, монолит, зам., Э",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Грудка ЦБ, на подложке, зам., Э",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Грудка ЦБ, монолит, зам., Э",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,7 - 1,8 кг., в пакете, зам., Э",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе ЦБ, монолит, зам., Э",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе ЦБ, на подложке, зам., Э",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Четвертина задняя ЦБ, на подложке, зам., Э",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Бедро ЦБ, на подложке, зам., Э",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Голень ЦБ, на подложке, зам., Э",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Бедро ЦБ, монолит, зам., Э",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе бедра с кожей ЦБ, монолит, зам., Э",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе бедра ЦБ, монолит, зам., Э",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Печень ЦБ, на подложке, зам., Э",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Мясо ЦБ, монолит, зам., мех.обвалки, Э",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Кожа ЦБ, монолит, зам., Э",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Мышечный желудок ЦБ, на подложке, зам., Э",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Сердце ЦБ, на положке, зам., Э",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Мышечный желудок ЦБ, на подложке, охл., Э",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе ЦБ, групп., охл., Э",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Четвертина задняя ЦБ, групп, охл, Э",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Грудка ЦБ, групп., охл., Э",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Голень ЦБ, групп., охл., Э",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Печень ЦБ, на подложке, охл., Э",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Сердце ЦБ, на подложке, охл., Э",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Бедро ЦБ,групп., охл., Э",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Бедро с частью спинки ЦБ, на подложке, охл.",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Плечевая часть крыла ЦБ, вес., охл.",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Локтевая часть крыла ЦБ, вес., охл.",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Ноги лом ЦБ, монолит, зам.",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 2 сорт, 1,3 - 2,5 кг., групп., охл.",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Грудка без крыльев ЦБ, монолит, зам.",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Мясо ЦБ, для донера, групп., охл.",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Крыло ЦБ, 2 сорт, групп., охл.",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,2 - 1,3 кг., монолит, зам., Э",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Голень ЦБ, монолит, зам.",Действителен до
KZ EA 3 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,3 - 1,4 кг., групп., охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1.3-1.4 кг., в пакете, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1.4-1.5 кг., в пакете, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1.5-1.6 кг., в пакете, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1.6-1.7 кг., в пакете, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1.7-1.8 кг., в пакете, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1.1-1.2 кг., в пакете, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1.2-1.3 кг., в пакете, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Грудка без крыльев ЦБ, вес., охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Четвертина задняя ЦБ, монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1.0 - 2.5 кг монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 2 сорт, 0.8 - 1.3 кг, вес., охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Крыло ЦБ, монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Грудка ЦБ, монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Окорочок ЦБ, вес, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Окорочок ЦБ, монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Печень ЦБ, монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Цыпленок Табака, вес, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Набор для Рагу ЦБ, вес, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Кость ЦБ, вес, охл, пром.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Крыло ЦБ, б/с, монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Четвертина задняя ЦБ, 2 сорт, монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, б/с, вес., охл, пром.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1.1-1.4 кг., в пакете, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1.4-1.8 кг., в пакете, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1.0-1.5 кг., монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1.5-2.5 кг., монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 2 сорт, 1.3 - 2.5 кг., монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Цеплёнок Табака, в пакете, зам",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Мясо ЦБ, вес, зам., мех.обвалки",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Кожа ЦБ, монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Костный остаток ЦБ, в пакете, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Бедро ЦБ, на подложке, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Голень ЦБ, на подложке, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе ЦБ, на подложке, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Крыло ЦБ, на подложке, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Цеплёнок Табака, вес., охл, об. тара",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Полутушка ЦБ, на подложке, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Мясо ЦБ, брикет, зам., мех.обвалки",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Четвертина задняя ЦБ, на подложке, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Грудка ЦБ, нва положке, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе ЦБ, монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1.3-1.5 кг., в пакете, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Мышечный желудок ЦБ, на подложке, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Печень ЦБ, на подложке, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Сердце ЦБ, на подложке, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1.3-1.6 кг, на подложке, охл",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1.3-1.5 кг, вес, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Бедро ЦБ, на подложке, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Бедро ЦБ, вес, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Голень ЦБ, на подложке, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Голень ЦБ, вес,охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Крыло ЦБ, на подложке,охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","КУрыло ЦБ,вес, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Четвертина задняя ЦБ, на подложке, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Четвертина задняя ЦБ, вес, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе ЦБ, на подложке, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе ЦБ,ве, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Полутушка ЦБ,на подложке, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Полутушка ЦБ, вес, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Грудка ЦБ, вес, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Грудка ЦБ, на подложке, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Спинка ЦБ, на подложке, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Спинка ЦБ, вес, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Мышечный желудок ЦБ, на подложке, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Мышечный желудок ЦБ, вес, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Печень ЦБ, на подложке, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Печень ЦБ, вес, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Сердце ЦБ, на подложке, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Сердце ЦБ, вес, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Ноги ЦБ, вес, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Головы ЦБ,вес, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Шея ЦБ, вес, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Суп домашний ЦБ, вес, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1.3-1.5 кг., вес, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Набор для Рагу ЦБ, в пакете, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Кожа ЦБ, вес, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1.5-2.5 кг, групп., охл",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Крыло ЦБ, групп, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе ЦБ, групп, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Грудка ЦБ, групп, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Четвертина задняя ЦБ, групп, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1.3-1.5 кг., вес, охл, об. тара",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1.3-1.5 кг, в пакете, охл. об. тара",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1.3-1.6 кг, на подложке, охл, об.тара",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Бедро ЦБ, вес, охл, об. тара",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Голень ЦБ, вес, охл, об.тара",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Крыло ЦБ, вес., охл, об. тара",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Грудка ЦБ, вес, охл, об.тара",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Полутушка ЦБ, вес, охл, об.тара",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Набор для Рагу ЦБ, вес, охл, об.тара",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе ЦБ, вес, охл, об.тара
",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Четвертина задняя ЦБ, вес, охл, об.тара",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Мышечный желудок ЦБ, вес, охл, об.тара",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Печень ЦБ, вес, охл, об.тара",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Сердце ЦБ, вес, охл, об.тара",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Шея ЦБ, вес, охл, об.тара",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Спинка ЦБ,вес, охл, об.тара",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Суп домашний ЦБ, вес, охл, об.тара",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Головы ЦБ, вес, охл, об.тара",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Ноги ЦБ, вес, охл, об.тара",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Бедро ЦБ, на подложке, охл,об.тара",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Голень ЦБ, на подложке, охл, об.тара",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Грудка ЦБ, на подложке, охл, об.тара",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Крыло ЦБ, на подложке, охл., об.тара",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе ЦБ, на подложке, охл, об.тара",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Четвертина задняя ЦБ, на подложке, охл, об.тара",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Мышечный желудок ЦБ, на подложке, охл, об.тара",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Печень ЦБ, на подложке, охл, об.тара",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Сердце ЦБ, на подложке, охл, об.тара",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1.3-1.8 кг., вес., охл, пром.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Суп домашний ЦБ, вес, охл, пром.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Шея ЦБ, вес, охл, пром.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Сердце ЦБ, монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Мышечный желудок ЦБ, монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Сердце ЦБ, вес, охл, пром.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Мышечный желудок ЦБ, вес, охл, пром.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Печень ЦБ,групп, охл, пром.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1.0-1.3 кг, монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1.3-1.7 кг, монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1.7-2.5 кг., монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1.0-1.1 кг, монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1.1-1.2 кг, монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1.2-1.3 кг, монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1.3-1.4 кг., монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1.4-1.5 кг., монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1.5-1.6 кг., монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1.6-1.7 кг., монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Цыплёнок Табака, в пакете, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 0.9-1.1 кг., монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 2 сорт, 1.0-1.3 кг., монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 2 сорт, 1.3-1.4 кг., монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 2 сорт, 1.4-1.5 кг., монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 2 сорт, 0.5-1.3 кг., монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Шея ЦБ, монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,5-2,5 кг, вес, охл, Э",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Четвертина задняя ЦБ, вес, зам, Э",Действителен до
