Номер сертификата о происхождении серийной продукции и дата его выдачи,"Производитель товара
(адрес производителя товара)","Наименование товара
(код ТН ВЭД ЕАЭС)","Статус сертификата о происхождении серийной продукции
(срок действия)"
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе ЦБ, монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,3 - 1,5 кг., в пакете, охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Мышечный желудок ЦБ, на подложке, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Печень ЦБ, на подложке, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Сердце ЦБ, на подложке, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,3 - 1,6 кг., на подложке, охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,3 - 1,5 кг., вес., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Бедро ЦБ, на подложке, охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Бедро ЦБ, вес., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Голень ЦБ, на подложке, охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Голень ЦБ, вес., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Крыло ЦБ, на подложке, охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Крыло ЦБ, вес., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Четвертина задняя ЦБ, на подложке, охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Четвертина задняя ЦБ, вес, охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе ЦБ, на подложке, охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе ЦБ, вес., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Полутушка ЦБ, на подложке, охл.",Действителен до
