Номер сертификата происхождения,Наименование РПП,Форма сертификата,Номер бланка,ИИН/БИН отправителя/ экспортера,Наименование отправителя/ экспортера,Адрес отправителя/ экспортера,Наименование товара,Код ТН ВЭД,Критерий происхождения,Страна происхождения товара,Страна получателя/ импортера,Статус сертификата,Дата выдачи,20.03.2025
KZ VN 1 110 03725,Палата предпринимателей Карагандинской области,«EAV»,1600557,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME HOT ROLLED STEEL COILS 

SIZE

 2.00       1215      coil
 2.30       1200      coil




HS CODE: 7208.39
             ",7208390000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,01.04.2021,01.04.2022
KZ VN 1 110 03724,Палата предпринимателей Карагандинской области,«EAV»,1600556,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME HOT ROLLED STEEL COILS 

SIZE

 2.00       1230        coil
 2.30       1212        coil
 2.30       1230        coil
 2.50       1212        coil
 2.50       1230        coil
 2.80       1230        coil



HS CODE: 7208.39
             ",7208390000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,01.04.2021,01.04.2022
KZ VN 1 110 03608,Палата предпринимателей Карагандинской области,«EAV»,1600553,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED STEEL COILS-SECONDARY

SIZE

1.20-16.00    450-1550  coil

   
HS CODE: 7208.39
                   7208.38
                   7208.37
                   7208.36
","7208390000, 7208380000",PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,30.03.2021,30.03.2022
KZ VN 1 110 03610,Палата предпринимателей Карагандинской области,«EAV»,1600554,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED STEEL 
COILS-OVERROLLING

SIZE

1.20-16.00    450-1550   coil

   
HS CODE: 7208.39
                   7208.38
                   7208.37
                   7208.36
","7208390000, 7208380000",PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,30.03.2021,30.03.2022
KZ VN 1 110 03606,Палата предпринимателей Карагандинской области,«EAV»,1600552,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED
CHEQUERED COILS -
SECONDARY

SIZE (mm)

1.20-16.00   450-1550     coil
   
CODE: 7208.10
",7208100000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,30.03.2021,30.03.2022
KZ VN 1 110 03611,Палата предпринимателей Карагандинской области,«EAV»,1600555,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED STEEL 
COILS-WASTE-WASTE

SIZE(mm)

1.2-16.0   450-1550   coil

   
HS CODE: 7208.39
                   7208.38
                   7208.37
                   7208.36
",7208390000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,30.03.2021,30.03.2022
KZ VN 1 110 03344,Палата предпринимателей Карагандинской области,«EAV»,1600546,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED STEEL 
COILS- OVERROLLING

SIZE

1.50-3.90   800-1500    coil
4.00-14.00   800-1500  coil
   
HS CODE: 7208.39
                   7208.38
                   7208.37
                   7208.36
","7208390000, 7208380000",PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,25.03.2021,25.03.2022
KZ VN 1 110 03347,Палата предпринимателей Карагандинской области,«EAV»,1600549,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED STEEL 
COILS-WASTE-WASTE

SIZE(mm)

1.2-16.0   450-1500   coil

   
HS CODE: 7208.39
                   7208.38
                   7208.37
                   7208.36
",7208390000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,25.03.2021,25.03.2022
KZ VN 1 110 03348,Палата предпринимателей Карагандинской области,«EAV»,1600550,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED CHEQUERED  
SHEETS-SECONDARY

SIZE(mm)

1.50-3.90  800-1500   
1800-6000
4.00-14.00  800-1500
1800-6000
   
HS CODE: 7208.54
                   7208.53
                   7208.52
                   7208.51
",7208400000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,25.03.2021,25.03.2022
KZ VN 1 110 03343,Палата предпринимателей Карагандинской области,«EAV»,1600545,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED CHEQUERED COILS - SECONDARY

SIZE

1.20-16.00   450-1500     coil
   
CODE: 7208.10
",7208100000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,25.03.2021,25.03.2022
KZ VN 1 110 03345,Палата предпринимателей Карагандинской области,«EAV»,1600547,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED STEEL 
COILS-OVERROLLING

SIZE

1.20-16.00    450-1500   coil

   
HS CODE: 7208.39
                   7208.38
                   7208.37
                   7208.36
","7208390000, 7208380000",PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,25.03.2021,25.03.2022
KZ VN 1 110 03346,Палата предпринимателей Карагандинской области,«EAV»,1600548,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED STEEL 
COILS-OVERROLLING

SIZE

1.20-16.00    450-1500   coil

   
HS CODE: 7208.39
                   7208.38
                   7208.37
                   7208.36
","7208390000, 7208380000",PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,25.03.2021,25.03.2022
KZ VN 1 110 03350,Палата предпринимателей Карагандинской области,«EAV»,1600551,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED STEEL 
SHEETS-SECONDARY

SIZE(mm)

1.50-3.90   800-1500 
1800-6000

   
HS CODE: 7208.54
                   7208.53",7208540000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,25.03.2021,25.03.2022
KZ VN 1 104 00235,Региональная палата предпринимателей Актюбинской области,«EAV»,1700543,950640000404.0,JSC «Aktyubinsk chromium chemicals plant»,"030015 Kazakhstan, Aktobe Industrial Zone, sector 15 B","Chromium Trioxide 
(Chromic Acid Solid)
Foreign trade statistic 
number: 2819100000 ",2819100000,РЕ,Республика Казахстан,Viet Nam,Истек срок действия сертификата,15.02.2021,15.02.2022
KZ VN 1 110 01124,Региональная палата предпринимателей Карагандинской области,«EAV»,1700348,161140023016.0,YDD Corporation LLP,"The Republic of Kazakhstan, Karaganda region, Karaganda city, Oktyabr’skiy district, uchetnyi kvartal 018, building 338","Ferrosilicon 72
Fraction 10-50 mm
HS code 7202.21",7202210000,WO,Республика Казахстан,Viet Nam,Истек срок действия сертификата,27.01.2021,27.01.2022
KZ VN 1 110 01128,Региональная палата предпринимателей Карагандинской области,«EAV»,1700347,161140023016.0,YDD Corporation LLP,"The Republic of Kazakhstan, Karaganda region, Karaganda city, Oktyabr’skiy district, uchetnyi kvartal 018, building 338","Ferrosilicon 72
Fraction 10-50 mm
HS code 7202.21",7202210000,P,Республика Казахстан,Viet Nam,Истек срок действия сертификата,27.01.2021,27.01.2022
KZ VN 0 110 12594,Палата предпринимателей Карагандинской области,«EAV»,1600544,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME HOT ROLLED STEEL COILS 
SIZE(mm)
2.30  1230  coil
2.50  1130  coil
2.50  1212  coil
2.50  1230  coil
2.80  1230  coil
2.80  1240  coil
3.20  1212  coil
3.20  1230  coil
3.20  1260  coil
3.50  1212  coil
3.50  1260  coil
3.80  1230  coil
HS CODE: 7208.38
AND 7208.39
             ",7208390000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,28.12.2020,28.12.2021
KZ VN 0 110 12592,Палата предпринимателей Карагандинской области,«EAV»,1600543,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME HOT ROLLED STEEL 
СOILS 

SIZE

 2.00   1212  coil
 2.00   1230  coil
 2.30   1130  coil
 2.30   1212  coil
 2.30   1230  coil




HS CODE: 7208.39
             ",7208390000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,28.12.2020,28.12.2021
KZ VN 0 104 02129,Региональная палата предпринимателей Актюбинской области,«EAV»,1700542,950640000404.0,JSC «Aktyubinsk chromium chemicals plant»,"030015 Kazakhstan, Aktobe Industrial Zone, sector 15 B","Chromium Trioxide 
(Chromic Acid Solid) 
Foreign trade statistic 
number: 2819100000",2819100000,PE,Республика Казахстан,Viet Nam,Истек срок действия сертификата,02.12.2020,02.12.2021
KZ VN 0 110 10477,Региональная палата предпринимателей Карагандинской области,«EAV»,1700345,161140023016.0,YDD Corporation LLP,"Kazakhstan, Karaganda city, Kazybek bi district, Passazhirskaya street , 15А","Ferrosilicon 72
Fraction 50-100 mm
HS code 7202.21",7202210000,WO,Республика Казахстан,Viet Nam,Истек срок действия сертификата,11.11.2020,11.11.2021
KZ VN 0 110 09583,Региональная палата предпринимателей Карагандинской области,«EAV»,1700343,161140023016.0,YDD Corporation LLP,"Kazakhstan, Karaganda city, Kazybek bi district, Passazhirskaya street , 15А","Ferrosilicon 72
Fraction 10-50 mm
HS code 7202.21",7202210000,WO,Республика Казахстан,Viet Nam,Истек срок действия сертификата,20.10.2020,20.10.2021
KZ VN 0 110 09582,Региональная палата предпринимателей Карагандинской области,«EAV»,1700342,161140023016.0,YDD Corporation LLP,"Kazakhstan, Karaganda city, Kazybek bi district, Passazhirskaya street , 15А","Ferrosilicon 72
Fraction 10-50 mm
HS code 7202.21",7202210000,WO,Республика Казахстан,Viet Nam,Истек срок действия сертификата,20.10.2020,20.10.2021
KZ VN 0 110 08649,Региональная палата предпринимателей Карагандинской области,«EAV»,1700341,161140023016.0,YDD Corporation LLP,"Kazakhstan, Karaganda city, Kazybek bi district, Passazhirskaya street , 15А","Ferrosilicon 72
Fraction 50-100 mm
HS code 7202.21",7202210000,WO,Республика Казахстан,Viet Nam,Истек срок действия сертификата,29.09.2020,29.09.2021
KZ VN 0 111 02565,Региональная палата предпринимателей Костанайской области,«EAV»,1600679,910540000047.0,JSC Kostanai Minerals,"67 Lenin Str. Zhitikara, Kostanay Region  110700, Kazakhstan","CHRYSOTILE FIBER 5-65
50 kgs/bag
HS code: 252490",2524900000,WO,Республика Казахстан,Viet Nam,Истек срок действия сертификата,24.09.2020,24.09.2021
KZ VN 0 104 01353,Региональная палата предпринимателей Актюбинской области,«EAV»,1700541,950640000404.0,JSC «Aktyubinsk chromium chemicals plant»,"030015 Kazakhstan, Aktobe Industrial Zone, sector 15 B","Chromium Trioxide 
(Chromic Acid Solid) 
Foreign trade statistic 
number: 2819100000 ",2819100000,PE,Республика Казахстан,Viet Nam,Истек срок действия сертификата,06.08.2020,06.08.2021
KZ VN 0 110 04931,Региональная палата предпринимателей Карагандинской области,«EAV»,1700339,161140023016.0,YDD Corporation LLP,"Kazakhstan, Karaganda city, Kazybek bi district, Passazhirskaya street , 15А","FERROSILICON 75
Fraction 10-50 mm
HS code 7202.21

",7202210000,WO,Республика Казахстан,Viet Nam,Истек срок действия сертификата,19.06.2020,19.06.2021
KZ VN 0 110 03405,Палата предпринимателей Карагандинской области,«EAV»,1700338,161140023016.0,YDD Corporation LLP,"Kazakhstan, Karaganda city, Kazybek bi district, Passazhirskaya street , 15А","Ferrosilicon 75
Fraction 10-50 mm
HS code 7202.21",7202210000,P,Республика Казахстан,Viet Nam,Истек срок действия сертификата,28.04.2020,28.04.2021
KZ VN 0 110 03405,Региональная палата предпринимателей Карагандинской области,«EAV»,1700338,161140023016.0,YDD Corporation LLP,"Kazakhstan, Karaganda city, Kazybek bi district, Passazhirskaya street , 15А","Ferrosilicon 75
Fraction 10-50 mm
HS code 7202.21",7202210000,P,Республика Казахстан,Viet Nam,Истек срок действия сертификата,28.04.2020,28.04.2021
KZ VN 0 110 03065,Палата предпринимателей Карагандинской области,«EAV»,1700337,161140023016.0,YDD Corporation LLP,"Kazakhstan, Karaganda city, Kazybek bi district, Passazhirskaya street , 15А","Ferrosilicon 75
Fraction 10-50 mm
HS code 7202.21",7202210000,P,Республика Казахстан,Viet Nam,Истек срок действия сертификата,15.04.2020,15.04.2021
KZ VN 0 110 03065,Региональная палата предпринимателей Карагандинской области,«EAV»,1700337,161140023016.0,YDD Corporation LLP,"Kazakhstan, Karaganda city, Kazybek bi district, Passazhirskaya street , 15А","Ferrosilicon 75
Fraction 10-50 mm
HS code 7202.21",7202210000,P,Республика Казахстан,Viet Nam,Истек срок действия сертификата,15.04.2020,15.04.2021
KZ VN 0 110 03035,Палата предпринимателей Карагандинской области,«EAV»,1700336,161140023016.0,YDD Corporation LLP,"Kazakhstan, Karaganda city, Kazybek bi district, Passazhirskaya street , 15А","Ferrosilicon 75
Fraction 10-50 mm
HS code 7202.21",7202210000,P,Республика Казахстан,Viet Nam,Истек срок действия сертификата,13.04.2020,13.04.2021
