id,industrial_certificate_number
10483,№ЕАЭС KZ.7500361.01.01.01492
10484,№ЕАЭС KZ.7500361.01.01.02243
10485,№ЕАЭС KZ.3510317.01.01.00221
10486,№ЕАЭС KZ.3510396.01.01.00157
10489,№ЕАЭС KZ.3510396.01.01.00158
10492,№ЕАЭС KZ.3510396.01.01.00150
10500,ЕАЭС №KZ.3510396.13.12.00107
10502,ЕАЭС №KZ.3510396.13.12.00110
10503,ЕАЭС №KZ.3510396.13.12.00175
10505,ЕАЭС №KZ.3510396.13.12.00108
10507,ЕАЭС №KZ.3510396.13.12.00173
10508,№ЕАЭС KZ.3510396.01.01.00080
10510,№ЕАЭС KZ.3510396.01.01.00080  07.0№ЕАЭС KZ.3510396.01.01.0008
10511,№ЕАЭС KZ.3510396.01.01.00077
10514,ЕАЭС №KZ.3510103.24.01.00072
10515,ЕАЭС №KZ.3510103.24.01.00073
10517,ЕАЭС №KZ.3510103.24.01.00072 ЕАЭС №KZ.3510103.24.01.00072
10519,№ЕАЭС KZ.3510396.01.01.00076
10520,№ЕАЭС KZ.3510396.01.01.00149
10521,№ЕАЭС KZ.3510396.01.01.00146
10522,ЕАЭС №KZ.3510396.13.12.00111
10523,ЕАЭС №KZ.3510396.13.12.00109
10524,ЕАЭС №KZ.3510396.13.12.00174
10526,ЕАЭС  №KZ.3510396.13.12.00176
10527,ЕАЭС              №KZ.3510396.13.12.00176
10529,№ЕАЭС KZ.3510396.01.01.00147
10531,№ЕАЭС KZ.3510396.01.01.00148
10538,ЕАЭС №KZ.3510396.13.12.00179
10539,ЕАЭС №KZ.3510396.13.12.00180
10540,ЕАЭС №KZ.3510103.24.01.00075
10541,ЕАЭС №KZ.3510103.24.01.00074
10542,ЕАЭС №KZ.3510396.13.12.00177
10543,ЕАЭС №KZ.3510396.13.12.00178
10607,ЕАЭС KG №417/026. KZ/02/03983
10625,№ ЕАЭС KG 417/036.KZ.02.01131
10635,KZ 7500651.01.01.01128
10682,ЕАЭС KZ 3510396.01.01.00141
10685,ЕАЭС KZ 3510396.01.01.00140
10686,ЕАЭС KZ 3510396.01.01.00143
10688,ЕАЭС KZ 3510396.01.01.00135
10689,ЕАЭС KZ 3510396.01.01.00142
10691,ЕАЭС KZ 3510396.01.01.00137
10692,ЕАЭС KZ 3510396.01.01.00138
10693,ЕАЭС KZ 3510396.01.01.00134
10694,ЕАЭС KZ 3510396.01.01.00136
10696,ЕАЭС KZ 3510396.01.01.00133
10697,ЕАЭС KZ 3510396.01.01.00145
10698,ЕАЭС KZ 3510396.01.01.00139
10700,ЕАЭС KZ 3510396.13.12.00181
10701,ЕАЭС KZ 3510396.13.12.00166
10703,ЕАЭС KZ 3510396.13.12.00170
10704,ЕАЭС KZ 3510396.13.12.00167
10705,ЕАЭС KZ 3510396.13.12.00159
10706,ЕАЭС KZ 3510396.13.12.00158
10708,ЕАЭС KZ 3510396.13.12.00164
10709,ЕАЭС KZ 3510396.13.12.00161
10710,ЕАЭС KZ 3510396.13.12.00162
10711,ЕАЭС KZ 3510396.13.12.00163
10712,ЕАЭС KZ 3510396.13.12.00165
10713,ЕАЭС KZ 3510396.13.12.00171
10714,ЕАЭС KZ 3510396.13.12.00168
10715,ЕАЭС KZ 3510396.13.12.00169
10716,№ KZ.7700.02.01.00674463
10717,№ KZ.7700.02.01.00671476
10718,№ KZ.7700.02.01.00671478
10719,№ KZ.7700.02.01.00671479
10720,№ KZ.7700.02.01.00674465
10721,KZ.7700.02.01.00830451
10722,KZ.7700.02.01.00833252
10723,№ KZ.7700.02.01.00672425
10724,№ KZ.7700.02.01.00672426
10725,№ KZ.7700.02.01.00672427
10738,"№
KZ.7700.02.01.00674461"
10739,"№
KZ.7700.02.01.00674462"
10740,"№
KZ.7700.02.01.00674466"
10741,"№
KZ.7700.02.01.00672428"
10746,№ KZ.7700.02.01.00907638
10747,№ KZ.7700.02.01.00907637
10748,№ KZ.7700.02.01.00907640
10753,№ KZ.7700.02.01.00830439
10754,№ KZ.7700.02.01.00922663
10755,№ KZ.7700.02.01.00945523
10756,№ KZ.7700.02.01.00945525
10757,№ KZ.7700.02.01.00943950
10758,№ KZ.7700.02.01.00943956 .
10759,№ KZ.7700.02.01.00943955 .
10760,№ KZ.7700.02.01.00943954 .
10761,№ KZ.7700.02.01.00943760 .
10763,№ KZ.7700.02.01.00934540
10766,"№
KZ.7700.02.01.00934540"
10767,"№
KZ.7700.02.01.00903325"
10771,№ KZ.7700.02.01.00921710
10772,Сертификат соответствия № KZ.7500995.01.01.01017
10773,Сертификат соответствия № KZ.7500995.01.01.01016
10775,№ ЕАЭС KZ 3510317.13.12.01598
10779,"№ ЕАЭС KZ 3510317.13.12.01599 
, № ЕАЭС KZ 3510317.13.12.01598 
№ ЕАЭС KZ 3510317.13.12.01528"
10785,"№ ЕАЭС KZ 3510317.13.12.01598 
№ ЕАЭС KZ 3510317.13.12.01528"
10789,"№ ЕАЭС KZ 3510317.13.12.01599 , № ЕАЭС KZ 3510317.13.12.01598"
10791,№ ЕАЭС KZ 3510317.13.12.01599
10799,№ ЕАЭС KZ 3510317.13.12.01528
10802,KZ.3510317.01.01.00978
10807,KZ.3510317.01.01.00979
10811,KZ.3510317.01.01.00981
10818,KZ.3510317.01.01.00980
10822,"KZ.3510317.01.01.00696 , KZ.3510317.01.01.00698 , KZ.3510317.01.01.00700"
10823,"KZ.3510317.01.01.00696 , KZ.3510317.01.01.00698 , KZ.3510317.01.01.00699 , KZ.3510317.01.01.00700"
10825,"KZ.3510317.01.01.00696 , KZ.3510317.01.01.00697 , KZ.3510317.01.01.00698 , KZ.3510317.01.01.00699 , KZ.3510317.01.01.00700"
10827,"KZ.3510317.01.01.00696 , KZ.3510317.01.01.00697 , KZ.3510317.01.01.00698 ,  KZ.3510317.01.01.00700"
10837,3510317.13.12.01528
10841,№ЕАЭС KZ3510317.01.01.00548
10844,ЕАЭС №KZ.7500986.24.01.00170
10917,ЕАЭС №KZ.7500986.24.01.00179
11083,ЕАЭС №KZ.7500986.13.12.03102
11148,№ЕАЭС KZ 3510317.01.01.00507
11149,ЕАЭС KZ 7100317.13.12.02849
11150,ЕАЭС KZ 7100317.13.12.02850
11153,TC KZ E-KZ.0317.00184.P1
11155,TC KZ E-KZ.0317.00182
11157,ОТШ TC KZ К-KZ.0317.00017
11159,ОТТС TC KZ E-KZ.0317.00218
11160,ОТТС TC KZ E-KZ.0317.00148
11161,ОТШ TC KZ К-KZ.0317.00023
11162,ОТТС TC KZ E-KZ.0317.00234
11165,ОТШ TC KZ K-KZ.0317.00020
11168,ОТШ TC KZ K-KZ.0317.00019
11169,ОТТС TC KZ E-KZ.0317.00189
11173,ОTШ ТС KZ К-KZ.0317.00022.Р1
11175,ОTШ ТС KZ К-KZ.0317.00021
11308,Сертификат соответствия № ЕАЭС KZ3510317.01.01.00158
11312,Сертификат соответствия № ЕАЭС KZ3510317.01.01.00157
11316,Сертификат соответствия № ЕАЭС KZ3510317.01.01.00155
11317,Сертификат соответствия № ЕАЭС  KZ3510317.01.01.00155
11326,Сертификат соответствия № ЕАЭС KZ3510317.01.01.00156
11328,Сертификат соответствия № ЕАЭС KZ3510317.01.01.00489
11332,Сертификат соответствия № ЕАЭС KZ3510317.01.01.00490
11333,Сертификат соответствия № ЕАЭС KZ3510317.01.01.00491
11334,Декларация о соответствии № ЕАЭС KZ3510317.13.12.01б17
11335,Декларация о соответствии № ЕАЭС KZ3510317.13.12.01б17 .
11342,Декларация о соответствии № ЕАЭС KZ3510317.13.12.01б18
11345,Декларация о соответствии № ЕАЭС KZ3510317.13.12.01б18 .
11346,Декларация о соответствии № ЕАЭС KZ3510317.13.12.01б19
11349,Декларация о соответствии № ЕАЭС KZ3510317.13.12.01б19 .
11350,Декларация о соответствии № ЕАЭС KZ3510317.13.12.01б20
11352,Декларация о соответствии № ЕАЭС KZ3510317.13.12.01б20 .
11354,KZ.7500361.13.12.13639
11361,KZ.7500361.01.01.03786
11363,KZ.7500361.13.12.14087
11365,KZ.7500361.13.12.14088
11367,KZ. 7500361.13.12.14089
11371,KZ.7500361.13.12.14090
11372,KZ 7500361.13.12.14091
11373,№KZ.7100841.01.01.00812
11376,№KZ.7100841.01.01.00813
11381,ЕАЭС КZ 3510396.13.12.00210
11382,ЕАЭС КZ 3510396.01.01.00194
11383,ЕАЭС КZ 3510396.01.01.00195
11384,ЕАЭС КZ 3510396.01.01.00185
11386,ЕАЭС KZ 3510396.13.12.00211 .
11387,ЕАЭС КZ 3510396.13.12.00212
11388,ЕАЭС КZ 3510396.13.12.00216
11389,ЕАЭС КZ 3510396.13.12.00213
11391,ЕАЭС КZ 3510396.13.12.00214
11393,ЕАЭС КZ 3510396.13.12.00220
11394,ЕАЭС КZ 3510396.01.01.00196
11395,ЕАЭС КZ 3510396.13.12.00211
11397,ЕАЭС КZ 3510396.01.01.00191
11400,ЕАЭС КZ 3510396.01.01.00190
11404,ЕАЭС КZ 3510396.01.01.00197
11405,ЕАЭС КZ 3510396.01.01.00187
11406,ЕАЭС КZ 3510396.01.01.00188
11411,КZ.3510396.01.01.00077
11412,ЕАЭС КZ 3510396.13.12.00209
11419,ЕАЭС КZ 3510396.13.12.00221
11420,ЕАЭС КZ 3510396.01.01.00193
11422,ЕАЭС КZ 3510396.01.01.00192
11424,ЕАЭС КZ 3510396.01.01.00186
11426,ЕАЭС КZ 3510396.13.12.00219
11427,ЕАЭС КZ 3510396.13.12.00218
11428,ЕАЭС КZ 3510396.13.12.00222
11430,ЕАЭС КZ 3510396.01.01.00189
11432,ЕАЭС КZ 3510396.13.12.00217
11433,ЕАЭС КZ 3510396.13.12.00215
11437,ЕАЭС KZ 7100841.13.12.00692
11476,ЕАЭС KZ 7100841.13.12.00693
11515,№KZ.7500937.01.01.02044
11516,№ЕАЭС KZ 7500937.01.01.00704
11517,№KZ.7500937.01.01.02040
11526,KZ.7500937.01.01.02040
11585,KZ.7500937.01.01.02039
11587,KZ.7500937.01.01.02044
11600,KZ.7500937.01.01.02041 со сроком действия
11603,KZ.7500937.01.01.02042
11604,№ EAЭС KZ 7100841.01.01.00506
11605,KZ.7500937.01.01.02043
11621,№482 от 29.11.2022 ТОО Текс
11656,ЕАЭС № ЕАЭС KZ 7500651.13.12.08087
11658,ЕАЭС № ЕАЭС KZ 7500651.13.12.10652
11659,ЕАЭС KZ 7500651.01.01.01503
11661,ЕАЭС KZ 7500651.01.01.01667
11662,ЕАЭС KZ 7500651.01.01.01665
11663,ЕАЭС KZ 7500651.13.12.10647
11664,ЕАЭС KZ 7500651.13.12.10650
11665,ЕАЭС KZ 7500651.01.01.04670
11666,ЕАЭС KZ 7500651.01.01.04671
11667,ЕАЭС KZ 7500651.13.12.10648
11668,"ЕАЭС KZ
7500651.13.12.10660"
11678,№ЕАЭС KZ.7500986.01.01.01494
11679,№ЕАЭС KZ.7500986.01.01.01496
11680,№ЕАЭС KZ.7500986.01.01.01493
11684,kz.7100841.01.01.00635
11716,"KZ.7500317.01.01.00992,"
11856,"KZ.7500317.01.01.00995,"
11982,"KZ.7500317.01.01.00994,"
12087,"KZ.7500317.01.01.00993,"
12172,"KZ.7500317.01.01.00998,"
12202,"KZ.7500317.01.01.00997,"
12205,"KZ.7500317.01.01.00987,"
12238,"KZ.7500317.01.01.00996,"
12240,Сертификат соответствия зарегистрирован в реестре данных государственной системы технического регулирования № KZ.7500551.01.01.01120
12247,№TC KZ E-KZ.0401.00024.П1
12248,№TC KZ E-KZ.0401.00066 срок
12254,№ТC KZ E-KZ.0317.00120
12260,№TC KZ E-KZ.0114.00046
12266,№TC KZ E-KZ.0401.00064 .
12267,№TC KZ E-KZ.0401.00064
12268,№TC KZ E-KZ.0114.00040.P1 срок
12270,TC KZ E-KZ.0317.00228
12271,TC KZ E-KZ.0317.00078.P1 срок .
12272,TC KZ E-KZ.0317.00078.P1 срок
12273,TC KZ E-KZ.0317.00085
12274,TC BY E-BY.117.00031.Р3
12276,№ TC BY E-BY.117.00009.Р2
12277,KZ.7500551.01.01.00032
12278,KZ.7500551.01.01.00031
12279,KZ.7500551.01.01.00476
12280,KZ.7500551.01.01.00030
12281,KZ.7500551.01.01.00029
12303,№ KZ.7500551.01.01.01121
12314,Сертификат соответствия № ЕАЭС KZ.7500361.22.01.04102
12317,Сертификат соответствия № ЕАЭС KZ.7500361.22.01.04103
12320,Сертификат соответствия № ЕАЭС KZ.7500361.22.01.04105
12322,Сертификат соответствия № ЕАЭС KZ.7500361.22.01.04104
12323,Сертификат соответствия № ЕАЭС KZ.7500361.22.01.04107
12324,Сертификат соответствия № ЕАЭС KZ.7500361.22.01.03735
12326,Декларация о соответствии № KZ.7500361.24.01.05509
12328,Сертификат соответствия № ЕАЭС KZ.7500361.22.01.03731
12329,Сертификат соответствия № ЕАЭС KZ. 7500361.22.01.03731
12330,Сертификат соответствия № ЕАЭС KZ. 7500361.22.01.03733
12331,Сертификат соответствия № ЕАЭС KZ. 7500361.22.01.03732
12333,Сертификат соответствия № ЕАЭС KZ. 7500361.24.01.04832
12512,№ ЕАЭС KZ 7500661.05.01.02008
12513,№ ЕАЭС KZ 7500661.05.01.01728
12514,ЕАЭС KZ 7500661.05.01.02759
12515,ЕАЭС KZ 7500661.05.01.02568
12516,№ ЕАЭС KZ 7500091.05.01.01087
12518,№ ЕАЭС KZ 7500661.05.01.02759
12521,№ ЕАЭС KZ 7500661.05.01.04406
12522,EАЭС KZ 7500802.01.01.00624
12525,№ ЕАЭС KZ1510317.13.12.00927
12551,ЕАЭС KZ 7100841.13.12.01868
12555,ЕАЭС KZ 7100841.13.12.01867
12593,"""EAЭС
KG417/026.Д0002849 .
"""
12594,EAЭС KG417/026.Д0002846 .
12595,EAЭС KG417/026.Д0002841 .
12596,EAЭС KG417/026.Д0002847 .
12597,EAЭС KG417/026.Д0002845 .
12598,EAЭС KG417/026.Д0002844 .
12599,EAЭС KG417/026.Д0002843 .
12603,ЕАЭС KZ 7100317.13.12.01993
12620,№ ЕАЭС KZ 7100841.13.12.01809
12625,№ ЕАЭС KZ 7100841.13.12.01810
12661,№ ЕАЭС KZ 7100841.01.01.01009
12669,№ 230223-05 от 23.02.2023 г.
12673,№ ЕАЭС KZ 7100841.01.01.01010
12675,№ ЕАЭС KZ 7100841.01.01.01011
12681,№ ЕАЭС KZ 7100841.01.01.01012
12705,Сертификат соответствия ЕАЭС KZ 7100841.05.01.01211 от 16.02.23г.
12706,Сертификат соответствия ЕАЭС KZ 7100841.05.01.01212 от 16.02.23г.
12708,Декларация о соответствии № ЕАЭС KZ 7100841.13.12.01773
12712,Сертификат соответствия ЕАЭС KZ 7100841.05.01.01210 от 16.02.23г.
12717,Сертификат соответствия ЕАЭС KZ 7100841.05.01.01213 от 16.02.23г.
12723,"ЕАЭС KZ3510396.01.01.00225 ГОСТ 28507-99, ГОСТ 12.4.033-95"
12726,"ЕАЭС KZ3510396.01.01.00225 ГОСТ 28507-99, ГОСТ 12.4.033-95, KZ3510396.01.0100226  ГОСТ12.4.032-95, ЕАЭС KZ3510396.01.01.00241   ГОСТ 12.4.137-2001, , ЕАЭС KZ3510396.01.01.00224 ГОСТ 12.4.124-83ССБТ"
12729,"ЕАЭС KZ3510396.01.01.00225 ГОСТ 28507-99, ГОСТ 12.4.033-95, ЕАЭС KZ3510396.01.0100226  ГОСТ12.4.032-95, ЕАЭС KZ3510396.01.01.00241   ГОСТ 12.4.137-2001"
12732,"ЕАЭС KZ3510396.01.01.00225 ГОСТ 28507-99, ГОСТ 12.4.033-95, ЕАЭС KZ3510396.01.0100226  ГОСТ12.4.032-95, ЕАЭС KZ3510396.01.01.00241  ГОСТ 12.4.137-2001"
12742,"ЕАЭС KZ3510396.01.01.00225 ГОСТ 28507-99, ГОСТ 12.4.033-95, ЕАЭС KZ3510396.01.0100226  ГОСТ12.4.032-95, ЕАЭС KZ3510396.01.01.00235 от 12.12.2022г. до 12.12.2023г. ГОСТ 12.4.137-2001"
12743,"ЕАЭС KZ3510396.01.01.00225 ГОСТ 28507-99, ГОСТ 12.4.033-95, ЕАЭС KZ3510396.01.0100226  ГОСТ12.4.032-95, KZ3510396.01.01.00241   ГОСТ 12.4.137-2001, ЕАЭС KZ3510396.01.01.00224 ГОСТ 12.4.124-83ССБТ"
12744,"ЕАЭС KZ3510396.01.01.00225 ГОСТ 28507-99, ГОСТ 12.4.033-95, ЕАЭС KZ3510396.01.0100226  ГОСТ12.4.032-95, ЕАЭС KZ3510396.01.01.00241  . ГОСТ 12.4.137-2001, ЕАЭС KZ3510396.01.01.00224 ГОСТ 12.4.124-83ССБТ"
12745,"ЕАЭС KZ3510396.01.01.00225 ГОСТ 28507-99, ГОСТ 12.4.033-95, ЕАЭС KZ3510396.01.0100226  ГОСТ12.4.032-95, ЕАЭС KZ3510396.01.01.00241   ГОСТ 12.4.137-2001, ЕАЭС KZ3510396.01.01.00224 ГОСТ 12.4.124-83ССБТ"
12749,"ЕАЭС KZ3510396.01.01.00225 ГОСТ 28507-99, ГОСТ 12.4.033-95, ЕАЭС KZ3510396.01.0100226  ГОСТ12.4.032-95, ЕАЭС KZ3510396.01.01.00241   ГОСТ 12.4.137-2001	пара"
12759,KZ.3510396.01.01.00088 ГОСТ СТ РК 2752-2015
12760,KZ3510396.01.01.00089  ГОСТ СТ РК 1586-2015
12785,№KZ. 7500995.13.12.05352
12786,№KZ.7500995.13.12.05352
12787,"""KZ 7500995.13.12.05351
Серия KZ 0189040"
12788,"""KZ 7500995.13.12.05353
 
"""
12790,""" KZ 7500995.13.12.05354
 
"""
12793,KZ.7500995.01.01.01012
12796,СС ЕАЭС № KZ7500986.01.01.04148
12798,KZ 7500441.13.12.00684
12805,KZ 7500441.24.01.01352
12808,KZ.7500441.24.01.01312
12811,KZ.7500441.24.01.01266
12813,KZ.7500441.24.01.01239
12817,KZ.7500441.24.01.01308
12821,KZ 7500441.13.12.00807
12825,KZ 7500441.13.12.00240
12827,KZ 7500441.13.12.00239
12831,KZ 7500441.13.12.00647
12835,KZ.7500441.24.01.01192
12837,KZ.7500441.13.12.01361
12838,"KZ.5110317.01.01.00073
Серия KZ №0168786"
12840,"KZ.5110317.01.01.00074
Серия KZ №0168787"
12917,ЕАЭС  KZ 7100317.13.12.02899
12998,№EAЭC KZ 7500986.01.01.00939
13000,№ ЕАЭС KZ 7500986.01.01.04486
13002,№ ЕАЭС KZ 7500986.01.01.04487
13003,KZ.7700.02.01.00636586
13004,KZ.7700.02.01.00655968
13005,KZ.7700.02.01.00678146
13006,KZ.7700.02.01.00659167
13007,KZ.7700.02.01.00643034
13008,KZ.7700.02.01.00630279
13009,KZ.7700.02.01.00677658
13010,KZ.7700.02.01.00658310
13011,KZ.7700.02.01.00667451
13012,KZ.7700.02.01.00678838
13013,KZ.7700.02.01.00681554
13014,KZ.7700.02.01.00657091
13015,KZ.7700.02.01.00662688
13016,KZ.7700.02.01.00678587
13017,KZ.7700.02.01.00674767
13028,KZ.7700.02.01.00681555
13029,KZ.7700.02.01.00637740
13034,KZ.7700.02.01.00628897
13036,KZ.7700.02.01.00645451
13037,KZ.7700.02.01.00654941
13038,KZ.7700.02.01.00621256
13039,KZ.7700.02.01.00641571
13045,KZ.1100317.01.01.01095
13052,KZ.1100317.01.01.01214
13062,Сертификат соответствия № ЕАЭС KZ7500651.01.01.04747
13066,Сертификат соответствия № ЕАЭС KZ7500651.01.01.04749
13070,Сертификат соответствия № ЕАЭС KZ7500651.01.01.04748
13074,Сертификат соответствия № ЕАЭС KZ7500651.01.01.04746
13075,Декларация соответствия № ЕАЭС KZ7500651.13.12.10804
13077,ЕАЭС KZ 7100841.01.01.00377
13081,ТС KZ E-KZ.0317.00162
13092,ТС KZ А-KZ.0428.001457
13094,ТС KZ E-KZ.0317.00082
13096,ТС RU Е-RU.МТ02.00002.Р19И1
13108,ТС KZ E-KZ.0317.00193
13169,ТС KZ E-KZ.0317.00177
13211,ОП KZ. А.0317.00006
13237,ТС KZ.A-KZ.0428.01426
13238,ТС RU E-RU. MT02. 00188.П1Р3
13239,ТС RU Е-RU.МТ02.00051.П2
13246,ЕАЭС KZ 7100841.13.12.00687
13275,ЕАЭС KZ 7100841.13.12.00688
13332,EAЭС KZ 3910317.22.01.00240      с 29.01.2021 по 29.01.2024
13333,EAЭС KZ 3910317.01.01.00117  с 24.08.2022 по 24.08.2025
13334,ЕАЭС KZ 3910317.01.01.00126        с 19.09.2022 по 19.09.2025
13335,EAЭС KZ 3910317.22.01.00261     с 31.03.2021 по 30.03.2024
13336,EAЭС KZ 3910317.01.01.00075     с 11.05.2022 по 11.05.2025
13337,EAЭС KZ 3910317.01.01.00029     с 04.11.2021 по 30.03.2024
13338,EAЭС KZ 3910317.01.01.00029      с 04.11.2021 по 30.03.2024
13339,EAЭС KZ 3910317.01.01.00074     с 11.05.2022 по 11.05.2025
13340,EAЭС KZ 3910317.01.01.00018      с 19.08.2021 по 19.08.2024
13341,EAЭС KZ 3910317.01.01.00030      с 04.11.2021 по 19.08.2024
13342,EAЭС KZ 3910317.01.01.00073    с 11.05.2022 по 11.05.2025
13343,EAЭС KZ 3910317.01.01.00118  с 24.08.2022 по 24.08.2025
13344,EAЭС KZ 3910317.01.01.00225      с 18.01.2023 по 18.01.2026
13345,"Декларация Комплект женский рабочий (куртка, брюки или полукомбинезон) в комплекте и отдельными предметами KZ.3510396.13.12.00025 от 07.09.2021 г. Действителен до 07.09.2024"
13346,"Декларация Комплект женский рабочий (куртка, брюки или полукомбинезон) в комплекте и отдельными предметами KZ.3510396.13.12.00025 от 07.09.2021 г. Дейсвителен до 07.09.2024"
13348,"Сертификат соответствия Комплект женский рабочий (куртка, брюки или полукомбинезон; головной убор) для защиты от кислот и щелочей KZ.3510396.01.01.00004 от 08.09.2021г. Действителен до 08.09.2024"
13349,"Сертификат соответствия Комплект женский рабочий (куртка, брюки или полукомбинезон) от пониженных температур KZ.3510396.01.01.00010 от 08.09.2021г. Действителен до 08.09.2024г."
13350,Декларация Костюм женский рабочий KZ.3510396.13.12.00063 от 16.09.2021 г. Действителен до 16.09.2024г.
13351,Сертификат соответствия КОСТЮМЫ женские рабочие для защиты от кислот и щелочей KZ.3510396.01.01.00042 от 16.09.2021г. Действителен до 16.09.2024г.
13352,"Сертификат соответствия Комплект мужской рабочий (куртка, брюки)  в комплекте и отдельными предметами в ассортименте для защиты от искр и брызг расплавленного металла KZ.3510396.01.01.00018 от 08.09.2021г.Действителен до 08.09.2024"
13357,"Сертификат соответствия Комплект мужской рабочий (куртка, брюки или полукомбинезон) в комплекте и отдельными предметами в ассортименте для защиты от нефти и нефтепродуктов  KZ.3510396.01.01.00019 от 08.09.2021г. Дествителен до 08.09.2024"
13407,Декларация Шапка-ушанка утепленная из искусственного меха  KZ.33510396.13.12.00007 от 30.08.2021 г.  Действителен до 30.08.2024г.
13617,KZ.7500851.01.01.00120
13358,"Сертификат соответствия Комплект мужской рабочий (куртка, брюки или полукомбинезон) в комплекте и отдельными предметами для защиты от нефти и нефтепродуктов в ассортименте KZ.3510396.01.01.00019 от 08.09.2021г. Дествителен до 08.09.2024"
13363,"Декларация Комплект мужской рабочий (куртка, брюки или полукомбинезон) KZ.3510396.13.12.00018 от 06.09.2021 г. Действителен до 06.09.2024"
13369,"Сертификат соответствия Комплект мужской рабочий (куртка, брюки или полукомбинезон) для защиты от кислот и щелочей KZ.3510396.01.01.00009 от 08.09.2021г. Действителен до 08.09.2024г."
13370,"Сертификат соответствия Комплект мужской рабочий (куртка, брюки или полукомбинезон) для защиты от пониженных температур KZ.3510396.01.01.00016 от 08.09.2021г.  Действителен до 08.09.2024"
13372,"Сертификат соответствия Комплект мужской рабочий (куртка, брюки или полукомбигнезон) в комлекте и отдельными предметами в ассортименте от пониженных температур KZ.3510396.01.01.00016 от 08.09.2021г. Дествителен до 08.09.2024"
13375,"Сертификат соответствия Комплект мужской рабочий (куртка, брюки или полукомбигнезон) в комлекте и отдельными предметами в ассортименте от пониженных температур KZ.3510396.01.01.00016 от 08.09.2021г. Действителен до 08.09.2024"
13377,Декларация КОСТЮМ мужской рабочий для защиты от воды  KZ.3510396.13.12.00068 от 16.09.2021 г. Действителен до 16.09.2024г.
13378,Декларация КОСТЮМ мужской рабочий от ОПЗ KZ.3510396.13.12.00065 от 16.09.2021 г. Действителен до 16.09.2024г.
13379,Сертификат соответствия КОСТЮМЫ мужские рабочие для защиты от кислот и щелочей KZ.3510396.01.01.00041 от 16.09.2021г. Действителен до 16.09.2024г.
13380,Сертификат соответствия КОСТЮМЫ мужские рабочие для защиты от нефти и нефтепродуктов KZ.3510396.01.01.00044 от 16.09.2021г. Действителен до 16.09.2024г.
13381,Сертификат соответствия КОСТЮМЫ мужские рабочие от искр и брызг расплавленного металла KZ.3510396.01.01.00045 от 16.09.2021г. Действителен до 16.09.2024
13382,Сертификат соответствия КОСТЮМЫ мужские рабочие для защиты от пониженных температур KZ.3510396.01.01.00046 от 16.09.2021г. Действителен до 16.09.2024г.
13383,Сертификат соответствия Комбинезоны мужские и женские для защиты от нефти и нефтепродуктов KZ.3510396.01.01.00017 от 08.09.2021г. Действителен до 08.09.2024
13384,Сертификат соответствия Жилеты утепленные рабочие женские и мужские KZ.3510396.01.01.00021 от 09.09.2021г. Действителен до 16.09.2024г.
13386,Сертификат соответствия Жилеты сигнальные KZ.3510396.01.01.00020 от 08.09.2021г. Действителен до 08.09.2024г.
13387,Декларация Плащ мужской для защиты от воды KZ.3510396.13.12.00016 от 06.09.2021 г. Действителен до 06.09.2024
13388,Декларация Куртка (ветровка) мужская повседневная  KZ.3510396.13.12.00003 от 27.08.2021 г. Действителен до 27.08.2024г.
13389,Декларация Блузка женская KZ.3510396.13.12.00002 от 27.08.2021 г. действителен до 27.08.2024г.
13390,Декларация Халаты рабочие мужские и женские  KZ.3510396.13.12.00022 от 06.09.2021 г. Действителен до 06.09.2024г
13392,Декларация Средства для защиты рук от ОПЗ и механических воздействий KZ.3510396.13.12.00017 от 06.09.2021 г. Действителен до 06.09.2024г.
13393,Декларация Рукавицы хб. Рукавицы брезентовые. Рукавицы комбинированные  KZ.3510396.13.12.00023 от 07.09.2021 г. Действителен до 07.09.2024
13396,Сертификат соответствия Рукавицы (вачеги) комбинированные для защиты рук от искр и брызг расплавленного металла KZ.3510396.01.01.00014 от 08.09.2021г. Действителен до 08.09.2024
13397,Сертификат соответствия Рукавицы меховые KZ.3510396.01.01.00015 от 08.09.2021г. Действителен до 08.09.2024
13398,Декларация Фартуки универсальные рабочие мужские и женские для защиты от воды  KZ.3510396.13.12.00024 от 07.09.2021 г. Действителен до 07.09.2024г
13400,Сертификат соответствия Фартук универсальный рабочий мужской и женский от нефти и нефтепродуктов KZ.3510396.01.01.00005 от 07.09.2021г. Действителен до 07.09.2024
13401,Сертификат соответствия Фартуки универсальные для защиты от кислот и щелочей KZ.3510396.01.01.00008 от 08.09.2021г. Действителен до 08.09.2024г.
13402,Сертификат соответствия Фартуки рабочие для защиты от искр и брызг расплавленного металла KZ.3510396.01.01.00011 от 08.09.2021г. Действителен до 08.09.2024г.
13404,Сертификат соответствия Фартук спилковый для защиты рук от искр и брызг расплавленного металла KZ.3510396.01.01.00012 от 08.09.2021г. Действителен до 08.09.2024г.
13405,"Декларация Шапочка-берет KZ.3510396.13.12.00005 от 30.08.2021 г., Действителен до 30.08.2024г."
13406,Декларация Шапка-ушанка меховая  KZ.3510396.13.12.00006 от 30.08.2021 г. Действителен до 30.08.2024г.
13408,Декларация Шапка трикотажная повседневная  KZ.3510396.13.12.00008 от 30.08.2021 г. Действителен до 30.08.2024г.
13409,Декларация Шапка трикотажная. Подшлемник трикотажный KZ.3510396.13.12.00009 от 30.08.2021 г. Действителен до 30.08.2024г.
