id,industrial_certificate_number
860,№ KZ.7100841.01.01.05177
862,№ KZ.7100841.01.01.05424
863,№ KZ.7100749.01.01.00795
866,№ KZ.7100317.01.01.10392
872,№ KZ.7100317.05.01.36434
882,ЕАЭС № KZ.7100317.24.01.01368
884,ЕАЭС № KZ.7100317.22.01.00100
885,ЕАЭС № KZ.7100317.24.01.01367
971,ЕАЭС № KZ.7100317.22.01.00101
972,ЕАЭС № KZ.7100317.22.01.00102
974,ЕАЭС № KZ.7100317.22.01.00103
984,ЕАЭС № KZ.7100317.22.01.00104
996,Сертификат соответствия № ЕАЭС KZ.7500651.22.01.00815
998,Сертификат соответствия № ЕАЭС KZ.7500651.22.01.00816
1000,Сертификат соответствия № ЕАЭС KZ.7500651.22.01.00856
1001,Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01282
1002,Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01283
1003,Сертификат соответствия № ЕАЭС KZ.7500651.22.01.00858
1005,Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01368
1008,Сертификат соответствия № ЕАЭС KZ.7500651.22.01.00857
1009,Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01366
1010,Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01367
1012,Сертификат соответствия № ЕАЭС KZ.7500651.22.01.00819
1022,Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01286
1023,Сертификат соответствия № ЕАЭС KZ.7500651.22.01.01451
1024,Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01860
1025,Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01861
1026,Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01862
1028,Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01863
1031,Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01864
1041,Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01288
1043,сертификат соответствия  EAЭC KZ.7500986.21.01.04402
1057,Сертификат соответствия № ЕАЭС KZ.7100628.01.01.04699
1058,Сертификат соответствия № ЕАЭС KZ.7100628.01.01.04700
1059,Сертификат соответствия № ЕАЭС KZ.7100628.01.01.04701
1060,Сертификат соответствия № ЕАЭС KZ.7100628.01.01.04702
1069,Декларация о соответствии ЕАЭС № KZ.7100628.24.01.00191
1078,№ KZ.7700.02.01.00719971 РУ  РК-ИМН-5№015042
1079,KZ.7700.02.01.00719977  РУ  РК-ИМН-5№015045
1080,KZ.7700.02.01.00719976 РУ  РК-ИМН-5№015041
1081,KZ.7700.02.01.00750655  РК-ИМН-5№016446
1082,KZ.7700.02.01.00719970 РУ  РК-ИМН-5№015043
1083,"KZ.7700.02.01.00726484 , РУ  РК-ИМН-5№016441"
1084,KZ.7700.02.01.00705652  РУ РК-ИМН-5№016443
1085,KZ.7700.02.01.00705672  РУ  РК-ИМН- 5№020630
1086,KZ.7700.02.01.00705668  РУ  РК-ИМН-5№021585
1087,Декларация соответствия  ЕАЭС KZ.7500802.24.01.01182
1088,Декларация соответствия  ЕАЭС KZ.7500802.24.01.01180
1089,Декларация соответствия ЕАЭС KZ.7500802.24.01.01181
1091,Декларация соответствия ЕАЭС KZ.7500802.24.01.01179
1093,Декларация соответствия ЕАЭС KZ.7500802.24.01.01178
1102,Сертификат соответствия ЕАЭС №KZ7500802.22.01.00258
1103,Сертификат соответствия ЕАЭС №KZ7500802.22.01.00259
1104,Декларация соответствия ЕАЭС №KZ7500802.24.01.01258
1105,Декларация соответствия ЕАЭС №KZ7500802.24.01.01259
1106,Декларация соответствия ЕАЭС №KZ7500802.24.01.01260
1107,Декларация соответствия ЕАЭС №KZ7500802.24.01.01261
1108,Декларация соответствия ЕАЭС №KZ7500802.24.01.01262
1109,Декларация соответствия ЕАЭС №KZ7500802.24.01.01263
1110,Декларация соответствия ЕАЭС №KZ7500802.24.01.01264
1112,Декларация соответствия ЕАЭС №KZ7500802.24.01.01265
1113,Декларация соответствия ЕАЭС №KZ7500802.24.01.01266
1114,Декларация соответствия ЕАЭС №KZ7500802.24.01.01267
1116,Декларация соответствия ЕАЭС №KZ7500802.24.01.01268
1117,Декларация соответствия ЕАЭС №KZ7500802.24.01.01269
1118,Декларация соответствия ЕАЭС №KZ7500802.24.01.01270
1119,Декларация соответствия ЕАЭС №KZ7500802.24.01.01334
1121,Декларация соответствия ЕАЭС №KZ7500802.24.01.01335
1122,Сертификат соответствия ЕАЭС №KZ7500995.22.01.20046
1124,Сертификат соответствия ЕАЭС №KZ7500995.22.01.20041
1126,Декларация соответствия ЕАЭС №KZ7500802.24.01.01336
1127,Декларация соответствия ЕАЭС №KZ7500802.24.01.01337
1128,Декларация соответствия ЕАЭС №KZ7500802.24.01.01338
1129,Декларация соответствия ЕАЭС №KZ7500995.24.01.20209
1130,Декларация соответствия ЕАЭС №KZ7500995.24.01.20210
1133,Декларация соответствия ЕАЭС №KZ7500802.24.01.01354
1135,№ЕАЭС KZ.1900193.22.01.70014
1159,декларация соответствия KZ.7500986.24.01.50017
1161,сертификат соответствия KZ.7500995.01.01.00374
1163,сертификат соответствия KZ.7500995.01.01.00375
1167,"Декларация о соответствии
KZ.7500651.24.01.01377"
1168,Сертификат о соответствии КZ.7500651.22.01.00989
1169,"Декларация о соответствии
KZ.7500651.24.01.01378"
1170,"Декларация о соответствии
KZ.7500651.24.01.01380"
1171,Сертификат о соответствии КZ.7500651.01.01.0681
1172,Сертификат о соответствии КZ.7500651.01.01.06810
1173,"Декларация о соответствии
KZ.7500651.24.01.01381"
1174,Сертификат о соответствии КZ.7500651.01.01.06811
1176,"Декларация о соответствии
KZ.7500651.24.01.01382"
1177,"Декларация о соответствии
KZ.7500651.24.01.01379"
1178,"Декларация о соответствии
KZ.7500651.24.01.01383"
1179,"Декларация о соответствии
KZ.7500651.24.01.01384"
1180,"Декларация о соответствии
KZ.7500651.24.01.01385"
1181,"Декларация о соответствии
KZ.7500651.24.01.01386"
1182,"Декларация о соответствии
KZ.7500651.24.01.01387"
1183,Сертификат о соответствии КZ.7500651.22.01.00990
1184,"Декларация о соответствии
KZ.7500651.24.01.01388"
1185,Сертификат о соответствии КZ.7500651.01.01.06812
1186,Сертификат о соответствии КZ.7500651.22.01.00991
1187,"Декларация о соответствии
KZ.7500651.24.01.01389"
1188,Сертификат о соответствии КZ.7500651.01.01.06813
1215,Сертификат соответствия № KZ.5510317.01.01.16142
1218,Сертификат соответствия № KZ.5510317.01.01.16143
1220,№ KZ.2710317.24.01.02111
1239,KZ.3510317.22.01.00501
1244,KZ 7500986.22.01.00834
1246,KZ 7500986.22.01.00837
1253,KZ 7500986.22.01.00838
1271,KZ 7500986.22.01.00839
1285,166547
