document_id,issue_date,end_date,authorisation_licence,manufacturer_name,bin_iin
Сертификат соответствия: ЕАЭСKZ.3510317.22.01.00240. Серия KZ №0162014,2020-11-25,2021-11-25,-,ТОО «BIZDIN FORMA»,160440024111
Сертификат соответствия: ЕАЭСKZ.3510317.22.01.00238. Серия KZ №0162011,2020-11-25,2021-11-25,-,ТОО «BIZDIN FORMA»,160440024111
Сертификат соответствия: ЕАЭСKZ.3510317.22.01.00237 Серия KZ №0162012,2020-11-25,2021-11-25,-,ТОО «BIZDIN FORMA»,160440024111
Сертификат соответствия: ЕАЭСKZ.3510317.22.01.00235. Серия KZ №0162009,2020-11-25,2021-11-25,-,ТОО «BIZDIN FORMA»,160440024111
Сертификат соответствия: ЕАЭСKZ.3510317.22.01.00236. Серия KZ №0162010,2020-11-25,2021-11-25,-,ТОО «BIZDIN FORMA»,160440024111
KZ.7500317.01.01.22664,2020-10-09,2021-10-09,не лицензируется,"ТОО ""Novus Polymer"" (Новус Полимер),",940140000296
KZ.7500317.01.01.22757,2020-11-25,2021-11-25,не лицензируется,"ТОО ""Novus Polymer"" (Новус Полимер),",940140000296
Декларация №KZ7100317.24.01.03119,2019-12-30,2021-06-30,-,"ТОО ""Компания Жақсылық-2006""",60840016005
KZ.7100317.24.01.01371,2021-01-27,2022-07-27,-,ИП Ехлакова С.Н,641101400734
Сертификат соответствия  №KZ.7700.02.01.00683013,2020-09-21,2025-10-01,"Государственная лицензия № 66001131 
от 29.08.2014года","ТОО ""Научно-производственное предприятие ""Антиген""",980340000548
Сертификат соответствия № KZ.7700.02.01.00682310,2020-09-16,2021-10-01,"Государственная лицензия № 66001131 
от 29.08.2014года","ТОО ""Научно-производственное предприятие ""Антиген""",980340000548
Сертификат соответствия № KZ.7700.02.01.00691718,2020-10-26,2021-11-01,"Государственная лицензия № 66001131 
от 29.08.2014года","ТОО ""Научно-производственное предприятие ""Антиген""",980340000548
KZ.7500361.24.01.05505,2021-01-05,2026-01-04,-,"ТОО ""ALMATY TANNERY+ (АЛМАТИНСКИЙ КОЖЕВЕННЫЙ ЗАВОД)""",61140002558
KZ.7500361.24.01.05506,2021-01-05,2026-01-04,-,"ТОО ""ALMATY TANNERY+ (АЛМАТИНСКИЙ КОЖЕВЕННЫЙ ЗАВОД)""",61140002558
KZ.1910317.24.01.02026,2020-04-15,2021-04-15,-,"ТОО ""МЕДИСОН-2008""",81040004148
KZ.7500986.24.01.00674,2020-11-16,2023-11-16,-,Онерпаз,20940002804
KZ.7500986/24/01/00675,2020-11-16,2023-11-16,-,Онерпаз,20940002804
KZ.7500986.22.01.00864,2020-11-16,2023-11-16,-,Онерпаз,20940002804
KZ7500986.22.01.00864,2020-11-16,2023-11-16,-,Онерпаз,20940002804
KZ.1900193.22.01.30152,2020-01-24,2023-01-24,-,Онерпаз,20940002804
KZ.1900193.22.01.30153,2020-01-24,2023-01-24,-,Онерпаз,20940002804
KZ.1900193.22.01.30154,2020-01-24,2023-01-24,-,Онерпаз,20940002804
_,,,не подлежит лицензированию,ТОО «ПРОМЕТ»,60840001106
№KZ.7500317.01.01.22604,2020-09-03,2021-09-03,-,ТОО «БОРАЛДАЙСКИЙ ТРУБНЫЙ ЗАВОД».,180940008002
№KZ.7500317.01.01.22605,2020-09-03,2021-09-03,-,ТОО «БОРАЛДАЙСКИЙ ТРУБНЫЙ ЗАВОД».,180940008002
KZ.7500995.01.01.00380,2021-03-17,2022-03-17,не лицензируемый вид деятельности,ТОО «Design ProClothes»,101040008226
KZ.7500995.01.01.00381,2021-03-17,2022-03-17,не лицензируемый вид деятельности,ТОО «Design ProClothes»,101040008226
KZ.7500995.01.01.00382,2021-03-17,2022-03-17,не лицензируемый вид деятельности,ТОО «Design ProClothes»,101040008226
KZ.7500995.01.01.00383,2021-03-17,2022-03-17,не лицензируемый вид деятельности,ТОО «Design ProClothes»,101040008226
KZ.7500995.01.01.00384,2021-03-17,2022-03-17,не лицензируемый вид деятельности,ТОО «Design ProClothes»,101040008226
KZ.7500995.01.01.00385,2021-03-17,2022-03-17,не лицензируемый вид деятельности,ТОО «Design ProClothes»,101040008226
