Номер сертификата происхождения,Наименование РПП,Форма сертификата,Номер бланка,ИИН/БИН отправителя/экспортера,Наименование отправителя/экспортера,Адрес отправителя/экспортера,Наименование товара,Код ТН ВЭД,Критерий происхождения,Страна происхождения товара,Страна получателя/импортера,Статус сертификата,Дата выдачи,12.03.2025
KZ IR 4 117 00657,"РПП ""Региональная палата предпринимателей Туркестанской области""",СТ-3,1900004,130840009404,"LLP ""KAZTEX (КАЗТЕКС)""","Kazakhstan, Shymkent city, Turan district, Asanbay Askarov street, building 34B, postal code 160005","Cotton fiber, not carded or combed",5201009000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,18.11.2024,18.11.2025
KZ IR 4 108 06772,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802186,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,P,Республика Казахстан,Iran (Islamic Republic),Действующий,18.11.2024,18.11.2025
KZ IR 4 117 00651,"РПП ""Региональная палата предпринимателей Туркестанской области""",СТ-3,1900002,130840009404,"LLP ""KAZTEX (КАЗТЕКС)""","Kazakhstan, Shymkent city, Turan district, Asanbay Askarov street, building 34B, postal code 160005","Cotton fiber, not carded or combed",5201009000,П,Республика Казахстан,Iran (Islamic Republic),Действующий,14.11.2024,14.11.2025
KZ IR 4 117 00652,"РПП ""Региональная палата предпринимателей Туркестанской области""",СТ-3,1900003,130840009404,"LLP ""KAZTEX (КАЗТЕКС)""","Kazakhstan, Shymkent city, Turan district, Asanbay Askarov street, building 34B, postal code 160005","Cotton fiber, not carded or combed",5201009000,П,Республика Казахстан,Iran (Islamic Republic),Действующий,14.11.2024,14.11.2025
KZ IR 4 117 00640,"РПП ""Региональная палата предпринимателей Туркестанской области""",СТ-3,1900001,130840009404,"LLP ""KAZTEX (КАЗТЕКС)""","Kazakhstan, Shymkent city, Turan district, Asanbay Askarov street, building 34B, postal code 160005","Cotton fiber, not carded or combed",5201009000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,11.11.2024,11.11.2025
KZ IR 4 108 06627,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802185,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,08.11.2024,08.11.2025
KZ IR 4 108 06522,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802184,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,P,Республика Казахстан,Iran (Islamic Republic),Действующий,04.11.2024,04.11.2025
KZ IR 4 108 06221,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802183,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,16.10.2024,16.10.2025
KZ IR 4 108 06161,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802182,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,12.10.2024,12.10.2025
KZ IR 4 108 06039,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802181,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,08.10.2024,08.10.2025
KZ IR 4 108 05995,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802180,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,04.10.2024,04.10.2025
KZ IR 4 108 05884,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802179,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,02.10.2024,02.10.2025
KZ IR 4 108 05784,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802178,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,28.09.2024,28.09.2025
KZ IR 4 108 05723,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802177,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,26.09.2024,26.09.2025
KZ IR 4 108 05608,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802176,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,P,Республика Казахстан,Iran (Islamic Republic),Действующий,23.09.2024,23.09.2025
