Номер сертификата происхождения,Наименование РПП,Форма сертификата,Номер бланка,ИИН/БИН отправителя/ экспортера,Наименование отправителя/ экспортера,Адрес отправителя/ экспортера,Наименование товара,Код ТН ВЭД,Критерий происхождения,Страна происхождения товара,Страна получателя/импортера,Статус сертификата,Дата выдачи
KZ UZ 5 119 01450,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018893,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58",Мороженое с заменителем молочного жира с ароматом клубники и йогурта с клубничным наполнителем «Розочка» - 8400 шт;,2105009100,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 119 01450,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018893,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58",Мороженое с заменителем молочного жира с ароматом ванили «Миша» - 648 шт;,2105009100,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 119 01450,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018893,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58","Фруктовый лед с ароматом арбуза ""Джусики"" Фруктокосмический лед"" - 7040 шт;",2105001000,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 119 01450,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018893,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58",Фруктовый лед с ароматом колы «Джусики» - 3520 шт;,2105001000,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 119 01450,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018893,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58","Мороженое пломбир с топленым молоком на блинчиках ""Веселая коровка"" - 17424 шт;",2105009900,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 119 01450,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018893,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58","Мороженое сливочное с ароматом крем-брюле  и наполнителем с ароматом вареной сгущенки ""Коровка"" - 12096 шт;",2105009900,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 119 01450,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018893,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58",Мороженое эскимо пломбир крем-брюле в глазури «Мишка на полюсе» - 4104 шт;,2105009900,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 119 01450,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018893,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58",Мороженое эскимо пломбир шоколадное в шоколадной глазури «Мишка на полюсе» - 4104 шт;,2105009900,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ RU 5 109 00782,"РПП ""Региональная палата предпринимателей Западно-Казахстанской области""",СТ-1,4007824,181040020478,ТОО «World Green Company»,"Казахстан, Западно-Казахстанская область, город Уральск, улица Сарайшық 28Б","Огурцы свежие Mewa - 
18700/18000 кг",0707000502,П,Республика Казахстан,Российская Федерация,Действующий,27.03.2025
KZ AZ 5 103 00898,"РПП ""Региональная палата предпринимателей Акмолинской области""",СТ-1,4003031,060840008420,ТОО «Витерра Казахстан»,"010016, Республика Казахстан, город Астана, ул. Достык 16","Пшеница мягкая 3 класса 
казахстанского происхождения

",1001990000,П,Республика Казахстан,Азербайджан,Действующий,27.03.2025
KZ GE 5 103 00899,"РПП ""Региональная палата предпринимателей Акмолинской области""",СТ-1,4003032,060840008420,ТОО «Витерра Казахстан»,"010016, Республика Казахстан, город Астана, ул. Достык 16","Пшеница мягкая 3 класса 
казахстанского происхождения

",1001990000,П,Республика Казахстан,Грузия,Действующий,27.03.2025
KZ GE 5 103 00900,"РПП ""Региональная палата предпринимателей Акмолинской области""",СТ-1,4003033,060840008420,ТОО «Витерра Казахстан»,"010016, Республика Казахстан, город Астана, ул. Достык 16","Пшеница мягкая 3 класса 
казахстанского происхождения
",1001990000,П,Республика Казахстан,Грузия,Действующий,27.03.2025
KZ AZ 5 110 04300,"РПП ""Региональная палата предпринимателей Карагандинской области""",СТ-1,3009713,940140001234,"АО ""ЕВРАЗИАН ФУДС""","РК, г.Караганды, ул.Бытовая,20 А","Спред растительно-жировой ""Станичное особое"" массовая доля жира 82,5 %, 5 кг",1517909900,Д1517,Республика Казахстан,Азербайджан,Действующий,27.03.2025
KZ AZ 5 103 00901,"РПП ""Региональная палата предпринимателей Акмолинской области""",СТ-1,4003034,060840008420,ТОО «Витерра Казахстан»,"010016, Республика Казахстан, город Астана, ул. Достык 16","Пшеница мягкая 3 класса 
казахстанского происхождения
",1001990000,П,Республика Казахстан,Азербайджан,Действующий,27.03.2025
KZ UZ 5 110 04304,"РПП ""Региональная палата предпринимателей Карагандинской области""",СТ-1 (Узбекистан),4021943,940140001234,"АО ""ЕВРАЗИАН ФУДС""","РК, г.Караганды, ул.Бытовая,20 А","Маргарин марки МТ ""Сливочный"" массовая доля общего жира 82%, 20 кг",1517109000,Д1517,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 110 04304,"РПП ""Региональная палата предпринимателей Карагандинской области""",СТ-1 (Узбекистан),4021943,940140001234,"АО ""ЕВРАЗИАН ФУДС""","РК, г.Караганды, ул.Бытовая,20 А","Маргарин марки МТК ""Для крема и суфле"" 
массовая доля общего жира 80%, 12 кг",1517109000,Д1517,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 110 04304,"РПП ""Региональная палата предпринимателей Карагандинской области""",СТ-1 (Узбекистан),4021943,940140001234,"АО ""ЕВРАЗИАН ФУДС""","РК, г.Караганды, ул.Бытовая,20 А","Спред растительно-жировой ""К чаю"" м.д.ж. 60,0 % (содержание молочного жира до 15 % от м.д.ж.), 
380 г, 30960 шт",1517909900,Д1517,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 110 04304,"РПП ""Региональная палата предпринимателей Карагандинской области""",СТ-1 (Узбекистан),4021943,940140001234,"АО ""ЕВРАЗИАН ФУДС""","РК, г.Караганды, ул.Бытовая,20 А","Спред растительно-жировой ""Станичное особое""
 м.д.ж. 82,5 % (содержание молочного жира до 15 % от м.д.ж.), 5 кг",1517909900,Д1517,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 110 04304,"РПП ""Региональная палата предпринимателей Карагандинской области""",СТ-1 (Узбекистан),4021943,940140001234,"АО ""ЕВРАЗИАН ФУДС""","РК, г.Караганды, ул.Бытовая,20 А","Спред растительно-жировой ""Станичное особое"" 
м.д.ж. 72,0 % (содержание молочного жира до 15 % от м.д.ж.), 450 г, 10080 шт",1517909900,Д1517,Республика Казахстан,Узбекистан,Действующий,27.03.2025
