Номер сертификата происхождения,Наименование РПП,Форма сертификата,Номер бланка,ИИН/БИН отправителя/ экспортера,Наименование отправителя/ экспортера,Адрес отправителя/ экспортера,Наименование товара,Код ТН ВЭД,Критерий происхождения,Страна происхождения товара,Страна получателя/ импортера,Статус сертификата,Дата выдачи,28.03.2025
KZ HU 5 106 00701,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000547,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,27.03.2025,
KZ HU 5 106 00702,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000548,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000",Polypropylene PP H031 BF/7 Code as per 3902100000,3902100000,W3902,Республика Казахстан,Hungary,Действующий,27.03.2025,
KZ HU 5 106 00703,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000549,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,27.03.2025,
KZ HU 5 106 00704,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000550,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,27.03.2025,
KZ HU 5 106 00705,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000551,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,27.03.2025,
KZ HU 5 106 00707,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000552,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,27.03.2025,
KZ HU 5 106 00710,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000554,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,27.03.2025,
KZ HU 5 106 00661,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000532,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,26.03.2025,
KZ HU 5 106 00660,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000531,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,26.03.2025,
KZ HU 5 106 00663,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000533,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,26.03.2025,
KZ HU 5 106 00664,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000534,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,26.03.2025,
KZ HU 5 106 00666,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000535,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,26.03.2025,
KZ US 5 108 01330,"РПП ""Региональная палата предпринимателей Жамбылской области""",«А»,3003773,930518302591.0,"IE ""Uaikhanov""","Turkestan region, Saryagash district, Saryagash, Botkin str., 21, Republic of Kazakhstan",long grain rice,1006209800,P,Республика Казахстан,United States,Действующий,26.03.2025,
KZ HU 5 106 00667,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000536,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,26.03.2025,
KZ HU 5 106 00668,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000537,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,26.03.2025,
KZ HU 5 106 00669,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000538,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,26.03.2025,
KZ HU 5 106 00650,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000523,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,25.03.2025,
KZ HU 5 106 00651,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000524,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,25.03.2025,
KZ HU 5 106 00652,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000525,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,25.03.2025,
KZ HU 5 106 00654,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000527,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,25.03.2025,
KZ TR 5 106 00653,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000526,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Turkey,Действующий,25.03.2025,
KZ HU 5 106 00655,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000528,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,25.03.2025,
KZ HU 5 106 00656,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000529,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,25.03.2025,
KZ HU 5 106 00657,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000530,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,25.03.2025,
KZ HU 5 106 00649,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000522,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,25.03.2025,
KZ TR 5 106 00641,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000514,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Turkey,Действующий,24.03.2025,
KZ TR 5 106 00641,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000514,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030TR/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Turkey,Действующий,24.03.2025,
KZ TR 5 106 00641,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000514,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H350FF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Turkey,Действующий,24.03.2025,
KZ HU 5 106 00642,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000515,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,24.03.2025,
KZ HU 5 106 00645,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000518,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,24.03.2025,
KZ HU 5 106 00644,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000517,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,24.03.2025,
KZ HU 5 106 00646,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000519,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,24.03.2025,
KZ TR 5 106 00640,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000513,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Turkey,Действующий,24.03.2025,
KZ HU 5 106 00647,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000520,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,24.03.2025,
KZ HU 5 106 00643,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000516,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,24.03.2025,
KZ HU 5 106 00648,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000521,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,24.03.2025,
KZ HU 5 106 00622,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000496,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ TR 5 106 00617,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000491,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Turkey,Действующий,23.03.2025,
KZ TR 5 106 00618,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000492,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Turkey,Действующий,23.03.2025,
KZ TR 5 106 00619,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000493,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Turkey,Действующий,23.03.2025,
KZ TR 5 106 00620,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000494,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Turkey,Действующий,23.03.2025,
KZ HU 5 106 00621,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000495,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00624,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000498,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00627,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000500,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00628,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000501,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00629,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000502,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00630,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000503,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00616,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000490,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00631,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000504,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00632,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000505,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00633,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000506,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00634,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000507,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00623,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000497,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00626,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000499,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00635,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000508,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00636,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000509,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00637,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000510,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00638,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000511,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00639,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000512,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,23.03.2025,
KZ HU 5 106 00611,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000487,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,21.03.2025,
KZ HU 5 106 00612,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000475,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,21.03.2025,
KZ HU 5 106 00613,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000476,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,21.03.2025,
KZ HU 5 106 00614,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000488,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,21.03.2025,
