Номер сертификата происхождения,Наименование РПП,Форма сертификата,Номер бланка,ИИН/БИН отправителя/ экспортера,Наименование отправителя/ экспортера,Адрес отправителя/ экспортера,Наименование товара,Код ТН ВЭД,Критерий происхождения,Страна происхождения товара,Страна получателя/ импортера,Статус сертификата,Дата выдачи,28.03.2025
KZ HU 5 106 00709,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000553,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,27.03.2025,
KZ HU 5 106 00676,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000539,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,27.03.2025,
KZ HU 5 106 00677,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000540,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,27.03.2025,
KZ HU 5 106 00690,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000541,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,27.03.2025,
KZ HU 5 106 00692,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000542,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,27.03.2025,
KZ HU 5 106 00696,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000544,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000",Polypropylene PP H031 BF/7 Code as per 3902100000,3902100000,W3902,Республика Казахстан,Hungary,Действующий,27.03.2025,
KZ HU 5 106 00694,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000543,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,27.03.2025,
KZ JP 5 107 00782,"РПП ""Региональная палата предпринимателей Восточно-Казахстанской области""",«А»,4002383,941040000097.0,JSC Ulba Metallurgical Plant,"102, Abay Avenue, Ust-Kamenogorsk 070005, Republic of Kazakhstan",Tantalum EB ingot Diameter 195+10 mm Weight 520±5 kg 8103200000,8103200000,W 8103,Республика Казахстан,Japan,Действующий,27.03.2025,
KZ HU 5 106 00698,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000545,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,27.03.2025,
KZ HU 5 106 00700,"РПП ""Региональная палата предпринимателей Атырауской области""",«А»,4000546,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H031 BF/7 
Code as per 3902100000",3902100000,W3902,Республика Казахстан,Hungary,Действующий,27.03.2025,
